648,CABLE ACERADO TRENZADO GALVANIZADO  2 mm,F,2.3.1.11.1.5,OTROS MATERIALES DE MANTENIMIENTO,METRO,3.5
649,CABLE AUTOMOTRIZ N 14,F,2.3.1.99.1.99,OTROS BIENES,METRO,1.9
650,CABLE COAXIAL,I,2.3.1.11.1.5,OTROS MATERIALES DE MANTENIMIENTO,METRO,1
651,CABLE CONDUCTOR TIPO THW 2.50 mm2 x 100m,I,2.6.2.3.2.5,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,ROLLO,130
652,CABLE CONDUCTOR TIPO THW DE 16mm2,I,2.6.2.3.5.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,METRO,12
653,CABLE CONDUCTOR TIPO THW N°12,I,2.6.2.3.4.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,METRO,2.3
654,CABLE CONDUCTOR TW AWG N 10 (2.50 mm2),I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,METRO,2.65
655,CABLE CONDUCTOR TW AWG N° 12 x 4.00mm2,I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,METRO,1.6
656,CABLE CONDUCTOR TW AWG N° 14 x 2.5mm2,I,2.6.2.3.4.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,METRO,1.6
657,CABLE CONDUCTOR TW AWG N° 14 x 2.5mm2,I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,METRO,1.1
658,CABLE DE 7 HILOS N 12,F,2.3.1.11.1.5,OTROS MATERIALES DE MANTENIMIENTO,METRO,1.9
659,CABLE DE ACELERADOR PARA CAMION COD. 2VY721555,F,2.3.1.6.1.1,DE VEHICULOS,UNIDAD,45
660,CABLE DE COBRE DESNUDO DE 25 mm2,I,2.6.2.3.5.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,METRO,14
661,CABLE ELECTRICO N 12,I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,METRO,9.2
662,CABLE ELECTRICO N 14,F,2.3.1.5.1.1,REPUESTOS Y ACCESORIOS,ROLLO,1.5
663,CABLE ELECTRICO N 14,I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,ROLLO,680
664,CABLE ELECTRICO N 14,I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,ROLLO,112
665,CABLE ELECTRICO TIPO THW 2.5 mm2 COLOR AZUL,I,2.6.2.3.5.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,METRO,2
666,CABLE ELECTRICO TIPO THW 2.5 mm2 COLOR ROJO,I,2.6.2.3.5.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,METRO,2
667,CABLE ELECTRICO TIPO THW 4 mm2 COLOR AZUL,I,2.6.2.3.5.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,METRO,2.8
668,CABLE ELECTRICO TIPO THW 4 mm2 COLOR ROJO,I,2.6.2.3.5.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,METRO,2.8
669,CABLE ELECTRICO TIPO THW  6 mm2 COLOR AZUL,I,2.6.2.3.5.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,METRO,4.8
670,CABLE ELECTRICO TIPO THW  6 mm2  COLOR ROJO,I,2.6.2.3.5.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,METRO,4.8
671,CABLE ESPIRAL NEGRO 3/4 ,F,2.3.1.5.1.1,REPUESTOS Y ACCESORIOS,METRO,1.8
672,CABLE HDMI x 10m ,F,2.3.1.5.1.1,REPUESTOS Y ACCESORIOS,UNIDAD,100
673,"CABLE NPT 3 x 8 AWG - 0,6/1 kV ",I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,METRO,28
674,CABLE TW N 14 AWG 2.5 mm2,F,2.3.1.11.1.5,OTROS MATERIALES DE MANTENIMIENTO,METRO,1.4
675,CABLE UTP CAT 6,F,2.3.1.5.1.1,REPUESTOS Y ACCESORIOS,METRO,2
676,CABLE VELOCIMETRO PARA CARGUERO,F,2.3.1.6.1.1,DE VEHICULOS,UNIDAD,58
677,CABLE VULCANIZADO 2 X 10 AWG,I,2.6.2.3.5.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,METRO,7.3
678,CABLE VULCANIZADO 2 X 12,I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,METRO,5.3
679,CABLE VULCANIZADO NLT 2 x 14 AWG,I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,METRO,3.8
680,CABLE VULCANIZADO NTP 4 x 10 AWG ,I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,METRO,24.8
681,"CADENA DE ACERO DE 5/8""",I,2.6.2.3.2.5,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,METRO,20
682,"CADENA DE ACERO DE 5/8""",I,2.6.2.3.4.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,METRO,28
683,"CADENA DE ACERO DE 5/8""",I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,METRO,13
684,CADENA DE ARRASTRE PARA MOTO HONDA XL-200,F,2.3.1.6.1.1,DE VEHICULOS,PIEZA,280
685,CADENA DE FIERRO GALVANIZADO DE 5/8,I,2.6.2.3.5.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,METRO,15
686,CADENA MOTOSIERRA MS 250,I,2.6.2.3.4.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,100
687,"CADENA PARA MOTOSIERRA DE 12""",F,2.3.1.11.1.4,PARA MAQUINARIAS Y EQUIPOS,UNIDAD,60
688,"CADENA PARA MOTOSIERRA DE 18""",F,2.3.1.11.1.4,PARA MAQUINARIAS Y EQUIPOS,UNIDAD,100
689,"CADENA PARA MOTOSIERRA DE 30""",F,2.3.1.11.1.4,PARA MAQUINARIAS Y EQUIPOS,UNIDAD,120
690,CAFE INSTANTANEO X 48 UNIDADES,F,2.3.1.1.1.1,ALIMENTOS Y BEBIDAS PARA CONSUMO HUMANO,UNIDAD,29
691,CAJA ADOSABLE PARA TOMACORRIENTE CON LINEA A TIERRA,F,2.3.1.5.1.1,REPUESTOS Y ACCESORIOS,UNIDAD,8.5
692,CAJA DE CONCRETO DE 0.40m x 0.40m C/TAPA P/ISTALACIONES ELECTRICAS,I,2.6.2.3.5.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,70
693,CAJA DE CONCRETO PARA DESAGUE 2 CUERPOS,F,2.3.1.11.1.5,OTROS MATERIALES DE MANTENIMIENTO,JUEGO,145
694,CAJA DE CONCRETO PARA DESAGUE 3 CUERPOS,I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,JUEGO,120
695,CAJA DE REGISTRO DE PLASTICO,I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,35
696,"CAJA OCTAGONAL DE PVC 4"" X 4""",I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,0.6
697,CAJA OCTOGONAL DE PVC,I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,2
698,CAJA OCTOGONAL GALVANIZADA PESADA,I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,2.8
699,CAJA RECTANGULAR DE PLASTICO PARA EMPOTRAR,I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,2
700,"CAJA RECTANGULAR DE PVC 2"" X 4""",I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,1
701,"CAJA RECTANGULAR DE PVC 2"" X 4""",I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,0.6
702,"CAJA RECTANGULAR GALVANIZADA PESADA 4"" X 2 1/8 X 2 1/8",I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,2.8
703,CAJONERA RODABLE DE MELAMINA,F,2.3.1.5.99.99,OTROS,UNIDAD,185
704,CALAMINA DE ACERO CON ALUZINC 0.35 mm x 1.18 m x 5.10 m,I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,PLANCHA,134
705,CALAMINA DE PVC ONDULADA DE 1 mm X 3.05 m X 1.22 m,I,2.6.2.3.2.5,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,33
706,CALAMINA GALVANIZADA 1.80 m X 0.80 cm X 4 mm,I,2.6.2.3.2.5,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,PLANCHA,14
707,CALAMINA GALVANIZADA 30 mm x 83 cm x 3.60 m ,I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,PLANCHA,45
708,CALAMINA GALVANIZADA 3.60 m X 80 cm,I,2.6.2.3.5.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,22
709,CALAMINA GALVANIZADA 3.60 m X 80 cm,I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,28
710,CALCULADORA SOLAR Y A PILAS DE 12 DIGITOS,F,2.3.1.5.1.2,"PAPELERIA EN GENERAL, UTILES Y MATERIALES DE OFICINA",UNIDAD,24
711,CAL DE OBRA,F,2.3.1.5.3.1,"ASEO, LIMPIEZA Y TOCADOR",KILOGRAMO,1
712,CAL DE OBRA,F,2.3.1.99.1.99,OTROS BIENES,KILOGRAMO,0.83
713,CAL DE OBRA,I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,KILOGRAMO,0.95
714,"CALENTADOR DE IMERSION PARA CHANCADORA, COD. REF. CH-233622M",F,2.3.1.6.1.1,DE VEHICULOS,UNIDAD,5477.4
715,"CAMA DE EMERGENCIA DESPLAZABLE, ALTURA REGULABLE",I,2.6.2.3.4.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,1350
716,"CAMA DE EMERGENCIA DESPLAZABLE, ALTURA REGULABLE",I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,850
717,"CAMA DE EMERGENCIA DESPLAZABLE, ALTURA REGULABLE",I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,650
718,CAMARA 1100R20,F,2.3.1.11.1.2,PARA VEHICULOS,UNIDAD,200
719,CAMARA 1100R20,F,2.3.1.6.1.1,DE VEHICULOS,UNIDAD,228.5
720,CAMARA 1200R20,F,2.3.1.6.1.1,DE VEHICULOS,UNIDAD,229
721,CAMARA 3.50/4.00-18 DE LLANTA POSTERIOR PARA MOTOCICLETA,F,2.3.1.6.1.1,DE VEHICULOS,UNIDAD,65
722,CAMARA DE VIDEO DIGITAL,F,2.6.3.2.3.1,EQUIPOS COMPUTACIONALES Y PERIFERICOS,UNIDAD,5200
723,CAMARA DE VIDEO DIGITAL IP TIPO FIJA,I,2.3.1.99.1.99,OTROS BIENES,UNIDAD,1050.2
724,CAMARA FOTOGRAFICA DIGITAL DE 24 MEGAPIXELES,F,2.6.3.2.3.1,EQUIPOS COMPUTACIONALES Y PERIFERICOS,UNIDAD,3900
725,CAMARA PARA LLANTA 750 R16,F,2.3.1.6.1.1,DE VEHICULOS,UNIDAD,84
726,CAMARA PARA LLANTA DE CARRETILLA,I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,12
727,CAMARA PARA LLANTA DE MOTOCICLETA,F,2.3.1.6.1.1,DE VEHICULOS,UNIDAD,42
728,CAMILLA DE MADERA,I,2.3.1.6.1.4,DE SEGURIDAD,UNIDAD,250
729,CAMILLA (OTRAS),F,2.6.3.2.9.99,"MAQUINARIAS, EQUIPOS Y MOBILIARIOS DE OTRAS INSTALACIONES",UNIDAD,1199
730,CAMILLA (OTRAS),I,2.6.2.3.5.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,550
731,CAMILLA RIGIDA  DE POLIETILENO ,I,2.3.1.11.1.5,OTROS MATERIALES DE MANTENIMIENTO,UNIDAD,300
732,CAMILLA RIGIDA  DE POLIETILENO ,I,2.6.2.3.2.5,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,250
733,CAMILLA RIGIDA  DE POLIETILENO ,I,2.6.2.3.4.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,410
734,CAMILLA RIGIDA  DE POLIETILENO ,I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,400
735,CAMION CISTERNA,I,2.6.3.2.9.99,"MAQUINARIAS, EQUIPOS Y MOBILIARIOS DE OTRAS INSTALACIONES",UNIDAD,411436
736,CAMION COMPACTADOR DE BASURA  15 m3,I,2.6.3.2.9.99,"MAQUINARIAS, EQUIPOS Y MOBILIARIOS DE OTRAS INSTALACIONES",UNIDAD,425744.8
737,CAMISA DE DRILL MANGA LARGA CON BORDADO Y CINTA REFLECTIVA,F,2.3.1.2.1.1,"VESTUARIO, ACCESORIOS Y PRENDAS DIVERSAS",UNIDAD,37
738,CAMISA DE DRIL MANGA LARGA,I,2.3.1.2.1.1,"VESTUARIO, ACCESORIOS Y PRENDAS DIVERSAS",UNIDAD,55
739,CAMISA DE DRIL MANGA LARGA,I,2.6.2.2.1.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,55
740,CAMISA DE DRIL MANGA LARGA,I,2.6.2.3.2.5,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,42.5
741,CAMISA DE DRIL MANGA LARGA (POLACA) CON PARCHE EN TELA BORDADA CON LOGOTIPO,F,2.3.1.2.1.1,"VESTUARIO, ACCESORIOS Y PRENDAS DIVERSAS",UNIDAD,85
742,CAMISA DE TELA OXFORD MANGA LARGA,F,2.3.1.2.1.1,"VESTUARIO, ACCESORIOS Y PRENDAS DIVERSAS",UNIDAD,58
743,CAMISA DE TELA OXFORD MANGA LARGA,I,2.3.1.2.1.1,"VESTUARIO, ACCESORIOS Y PRENDAS DIVERSAS",UNIDAD,60
744,CAMISA DE TELA OXFORD MANGA LARGA,I,2.6.2.3.2.5,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,55
745,CAMISA DE TELA OXFORD MANGA LARGA,I,2.6.2.3.4.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,55
746,CAMISA DE TELA OXFORD MANGA LARGA,I,2.6.2.3.5.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,55
747,CAMISA DE TELA OXFORD MANGA LARGA,I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,57.67
748,CAMISA DE TELA OXFORD MANGA LARGA,I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,68.25
749,CAMISA DE TELA OXFORD MANGA LARGA COLOR BEIGE CON LOGOTIPO BORDADO,F,2.3.1.2.1.1,"VESTUARIO, ACCESORIOS Y PRENDAS DIVERSAS",UNIDAD,55
750,CAMISA DE TELA OXFORD MANGA LARGA COLOR BEIGE CON LOGOTIPO BORDADO,I,2.3.1.2.1.1,"VESTUARIO, ACCESORIOS Y PRENDAS DIVERSAS",UNIDAD,55
751,CAMISA DE TELA OXFORD MANGA LARGA COLOR BEIGE CON LOGOTIPO BORDADO,I,2.6.2.3.4.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,55
752,CAMISA DE TELA OXFORD MANGA LARGA COLOR BEIGE CON LOGOTIPO BORDADO,I,2.6.2.3.5.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,62.5
753,CAMISA DE TELA OXFORD MANGA LARGA COLOR CELESTE CON LOGOTIPO BORDADO,F,2.3.1.2.1.1,"VESTUARIO, ACCESORIOS Y PRENDAS DIVERSAS",UNIDAD,60
754,CAMISA DE TELA OXFORD MANGA LARGA COLOR CELESTE CON LOGOTIPO BORDADO,I,2.6.2.3.4.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,55
755,CAMISA DE TELA OXFORD MANGA LARGA COLOR PLOMO CON LOGOTIPO BORDADO,F,2.3.1.2.1.1,"VESTUARIO, ACCESORIOS Y PRENDAS DIVERSAS",UNIDAD,55
756,CAMISA MANGA LARGA PARA VARON,F,2.3.1.2.1.1,"VESTUARIO, ACCESORIOS Y PRENDAS DIVERSAS",UNIDAD,55
757,CAMISA MANGA LARGA PARA VARON,I,2.6.2.3.2.5,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,55
758,CAMISA MANGA LARGA PARA VARON,I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,60
759,"CAÑA DE BAMBU 1 1/2"" x 6m ",I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,23
760,CANALETA DE PVC DE 14 mm X 24 mm X 2.10 m,F,2.3.1.5.1.1,REPUESTOS Y ACCESORIOS,UNIDAD,4.5
761,CANDADO X 30 mm,F,2.3.1.99.1.99,OTROS BIENES,UNIDAD,10
762,CANDADO X 40 mm,F,2.3.1.99.1.99,OTROS BIENES,UNIDAD,10
763,CANDADO X 40 mm,I,2.6.2.3.2.5,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,20
764,CANDADO X 40 mm,I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,18
765,CANDADO x 50mm,F,2.3.1.5.1.1,REPUESTOS Y ACCESORIOS,UNIDAD,33
766,CANDADO x 50mm,F,2.3.1.6.1.4,DE SEGURIDAD,UNIDAD,40
767,CANDADO x 50mm,F,2.3.1.99.1.1,HERRAMIENTAS,UNIDAD,25
768,CANDADO x 50mm,F,2.3.1.99.1.99,OTROS BIENES,UNIDAD,41
769,CANDADO x 50mm,I,2.6.2.3.4.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,32
770,CANDADO x 50mm,I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,20
771,CANDADO X 60 mm,F,2.3.1.6.1.4,DE SEGURIDAD,UNIDAD,44.5
772,CANDADO X 60 mm,F,2.3.1.99.1.99,OTROS BIENES,UNIDAD,18.5
773,CANDADO X 60 mm,I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,40
774,CANDADO X 70 mm,I,2.6.2.3.5.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,15
775,"CAÑERIA DE BRONCE 1/8"" X 2.5 m PARA CAMIONETA",F,2.3.1.6.1.1,DE VEHICULOS,UNIDAD,80
776,CAÑO DE LAVATORIO X 1/2,I,2.6.2.3.5.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,54
777,CAPACITOR (CONDENSADOR) DE ALUMINIO 25 µF 440 VAC +/-6%,F,2.3.1.11.1.4,PARA MAQUINARIAS Y EQUIPOS,PIEZA,287.41
778,CAPUCHON PARA PERNO DE CALIMINA,F,2.3.1.11.1.5,OTROS MATERIALES DE MANTENIMIENTO,UNIDAD,0.3
779,CAPUCHON PARA PROTECCION VARRILLAS DE FIERRO DE CONSTRUCCION,I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,1
780,CAPUCHON PARA PROTECCION VARRILLAS DE FIERRO DE CONSTRUCCION,I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,0.71
781,CARAMELO DURO RELLENO,F,2.3.1.1.1.1,ALIMENTOS Y BEBIDAS PARA CONSUMO HUMANO,CIENTO,10.5
782,CARAMELO DURO RELLENO,I,2.6.8.1.2.1,ESTUDIO DE PREINVERSION,CIENTO,6
783,CARBURADOR,F,2.3.1.6.1.1,DE VEHICULOS,UNIDAD,490
784,CARETA PROTECTORA PARA ESMERILAR,I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,22.5
785,CARETA PROTECTORA PARA ESMERILAR,I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,27.67
786,CARETA PROTECTOR FACIAL DE LAMINA DE POLICARBONATO REGULABLE ,F,2.3.1.11.1.5,OTROS MATERIALES DE MANTENIMIENTO,UNIDAD,50
787,CARETA PROTECTOR FACIAL DE LAMINA DE POLICARBONATO REGULABLE ,F,2.3.1.5.99.99,OTROS,UNIDAD,60.8
788,CARETA PROTECTOR FACIAL DE LAMINA DE POLICARBONATO REGULABLE ,F,2.3.1.6.1.4,DE SEGURIDAD,UNIDAD,50.77
789,CARETA PROTECTOR FACIAL DE LAMINA DE POLICARBONATO REGULABLE ,F,2.3.1.99.1.99,OTROS BIENES,UNIDAD,45
790,CARETA PROTECTOR FACIAL DE LAMINA DE POLICARBONATO REGULABLE ,I,2.3.1.6.1.4,DE SEGURIDAD,UNIDAD,60
791,CARETA PROTECTOR FACIAL DE LAMINA DE POLICARBONATO REGULABLE ,I,2.6.2.2.1.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,48
792,CARETA PROTECTOR FACIAL DE LAMINA DE POLICARBONATO REGULABLE ,I,2.6.2.3.2.5,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,38.25
793,CARETA PROTECTOR FACIAL DE LAMINA DE POLICARBONATO REGULABLE ,I,2.6.2.3.4.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,54.75
794,CARETA PROTECTOR FACIAL DE LAMINA DE POLICARBONATO REGULABLE ,I,2.6.2.3.5.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,40
795,CARETA PROTECTOR FACIAL DE LAMINA DE POLICARBONATO REGULABLE ,I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,60
796,CARETA PROTECTOR FACIAL DE LAMINA DE POLICARBONATO REGULABLE ,I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,60
797,CARETA PROTECTOR FACIAL DE LAMINA DE POLICARBONATO REGULABLE ,I,2.6.8.1.3.1,ELABORACION DE EXPEDIENTES TECNICOS,UNIDAD,55
798,CARGADOR DE PILAS.,I,2.6.2.3.2.5,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,99
799,CARRETILLA BUGUI CON LLANTA Y CAMARA,F,2.3.1.5.3.1,"ASEO, LIMPIEZA Y TOCADOR",UNIDAD,133
800,CARRETILLA BUGUI CON LLANTA Y CAMARA,F,2.3.1.99.1.1,HERRAMIENTAS,UNIDAD,185
801,CARRITO DE ARRASTRE 2 RUEDAS PARA MERCADO,F,2.3.1.99.1.4,"SIMBOLOS, DISTINTIVOS Y CONDECORACIONES",UNIDAD,35
802,CARTEL DE AMBIENTACION - TIEMPO,I,2.6.2.3.2.5,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,7
803,CARTEL DE MADERA DE 2.40m x 3.60m,F,2.3.1.5.99.99,OTROS,UNIDAD,639
804,CARTEL DE METAL,F,2.3.1.99.1.99,OTROS BIENES,UNIDAD,280
805,CARTUCHO DE TINTA HP 10 C4844A 69ml NEGRO,I,2.6.8.1.2.1,ESTUDIO DE PREINVERSION,UNIDAD,235
806,CARTUCHO DE TINTA HP 82 C 4911A 69ml CYAM,I,2.6.8.1.2.1,ESTUDIO DE PREINVERSION,UNIDAD,220
807,CARTUCHO DE TINTA HP 82 C 4912A 69ml MAGENTA,I,2.6.8.1.2.1,ESTUDIO DE PREINVERSION,UNIDAD,220
808,CARTUCHO DE TINTA HP 82 C 4913A 69ml AMARILLO,I,2.6.8.1.2.1,ESTUDIO DE PREINVERSION,UNIDAD,220
809,CARTUCHO UNIVERSAL MULTIGASES Y VAPORES PARA RESPIRADOR DE MEDIA CARA 3 M SERIE 6003,F,2.3.1.2.1.1,"VESTUARIO, ACCESORIOS Y PRENDAS DIVERSAS",UNIDAD,58
810,CARTULINA DE HILO 180 g TAMAÑO A4,F,2.3.1.5.1.2,"PAPELERIA EN GENERAL, UTILES Y MATERIALES DE OFICINA",UNIDAD,0.5
811,CARTULINA SIMPLE 120 g DE 65 cm X 50 cm,F,2.3.1.5.1.2,"PAPELERIA EN GENERAL, UTILES Y MATERIALES DE OFICINA",UNIDAD,0.5
812,CARTULINA SIMPLE 150 g DE 70 cm X 100  cm,I,2.6.7.1.4.2,GASTOS POR LA COMPRA DE BIENES,UNIDAD,2
813,CASACA ACOLCHADA IMPERMEABLE UNISEX,F,2.3.1.2.1.1,"VESTUARIO, ACCESORIOS Y PRENDAS DIVERSAS",UNIDAD,120
814,CASACA ACOLCHADA IMPERMEABLE UNISEX,I,2.6.2.3.2.5,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,90
815,CASACA ACOLCHADA IMPERMEABLE UNISEX,I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,119
816,CASACA DE CUERO CROMO PARA SOLDADOR,I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,100
817,CASACA EN TELA TASLAN COLOR AZUL MARINO ALCOLCHADA CON CINTA REFLECTIVA Y LOGOTIPO BORDADO,F,2.3.1.2.1.1,"VESTUARIO, ACCESORIOS Y PRENDAS DIVERSAS",UNIDAD,130
818,CASACA IMPERMEABLE PVC UNISEX,F,2.3.1.2.1.1,"VESTUARIO, ACCESORIOS Y PRENDAS DIVERSAS",UNIDAD,40
819,CASCO DE SEGURIDAD,F,2.3.1.99.1.99,OTROS BIENES,UNIDAD,22
